"SITE","can500","imp500","X","Y","lc21","lc22","lc23","lc24","lc.forest","lc.ag"
"MERRJOAMD1",29.361354,9.052697,309534,4348708,0.146118721461187,0.182648401826484,0.0136986301369863,0.00570776255707763,0.304794520547945,0.341324200913242
"MESEBARMD1",25.960659,1.554568,375738,4375630,0.130733944954128,0.018348623853211,0,0,0.261467889908257,0.545871559633027
"MILLJOEMD1",38.178169,10.984943,360962,4328905,0.336384439359268,0.224256292906178,0.0148741418764302,0.0022883295194508,0.267734553775744,0.017162471395881
"MILLLORVA1",31.383939,0,275291,4303347,0,0,0,0,0.491803278688525,0.482435597189696
"MILLPAUMD1",33.954956,9.877261,370113,4317083,0.267201834862385,0.165137614678899,0.0481651376146789,0.00458715596330275,0.275229357798165,0.0389908256880734
"MISBJANMD1",32.987453,12.703889,333001,4325703,0.0990783410138249,0.275345622119816,0.0426267281105991,0.00115207373271889,0.355990783410138,0.207373271889401
"MISSEDDC1",0.508155,70.016311,326798,4305714,0.00802752293577982,0.0665137614678899,0.684633027522936,0.240825688073394,0,0
"MOLIKARMD1",23.197122,26.074392,366519,4285044,0.149082568807339,0.311926605504587,0.135321100917431,0.018348623853211,0.130733944954128,0.00917431192660551
"MORAANGMD1",28.930992,3.707653,340223,4352207,0.177345537757437,0.0446224256292906,0,0,0.311212814645309,0.440503432494279
"MORAJANMD1",32.926769,2.080808,373184,4317562,0.17545871559633,0.0298165137614679,0,0,0.301605504587156,0.462155963302752
"MORRCHRVA1",25.739021,1.55207,301020,4323300,0.0434782608695652,0.0274599542334096,0.0022883295194508,0,0.296338672768879,0.616704805491991
"MORRJESMD1",51.264743,12.675031,326225,4318105,0.198630136986301,0.20662100456621,0.0559360730593607,0.0136986301369863,0.333333333333333,0.0262557077625571
"MOSMCARMD1",33.828926,8.827217,373071,4328091,0.235967926689576,0.138602520045819,0.00916380297823597,0.00343642611683849,0.154639175257732,0.0171821305841924
"MULLJOYVA1",42.712673,4.59473,296509,4284721,0.114285714285714,0.113142857142857,0.0137142857142857,0.00228571428571429,0.557714285714286,0.198857142857143
"MUTRCYNMD1",49.381431,5.067754,314686,4316803,0.172966781214204,0.0916380297823597,0.0148911798396334,0,0.489117983963345,0.191294387170676
"MUTRCYNMD2",38.489334,8.685069,307474,4317443,0.175660160734788,0.148105625717566,0.0298507462686567,0,0.444316877152698,0.192881745120551
"MYERBRUMD1",25.736511,16.237138,328276,4321418,0.436426116838488,0.284077892325315,0.0584192439862543,0.00229095074455899,0.126002290950745,0.0870561282932417
"NATICATDC1",17.377666,34.904644,320714,4311080,0.170114942528736,0.47816091954023,0.250574712643678,0.0206896551724138,0.0609195402298851,0.0195402298850575
"NATIGALDC1",0.757841,55.978668,324553,4306656,0.127586206896552,0.186206896551724,0.5,0.186206896551724,0,0
"NAYLMICMD1",52.033878,0.358845,345163,4353589,0.0240825688073395,0.00229357798165138,0,0,0.565366972477064,0.317660550458716
"NAYLMICMD2",38.5872,1.883312,344214,4352480,0.0458715596330275,0.0378440366972477,0.00688073394495413,0,0.401376146788991,0.496559633027523
"NEWBCARVA1",62.716438,0.406524,298157,4307076,0.0320366132723112,0.0080091533180778,0,0,0.687643020594966,0.262013729977117
"NICHALIMD1",57.10971,1.741487,364362,4317613,0.103329506314581,0.0241102181400689,0,0,0.544202066590126,0.167623421354765
"NICHSANMD1",8.434127,28.82434,353241,4345104,0.154109589041096,0.431506849315068,0.215753424657534,0.00114155251141553,0.0468036529680365,0.141552511415525
"OBRICHRMD1",15.220828,37.902133,333384,4320030,0.180778032036613,0.528604118993135,0.211670480549199,0.0606407322654462,0.0183066361556064,0
"ODELVINMD1",18.647428,0.454203,322087,4371569,0.0344827586206897,0.00344827586206897,0,0,0.148275862068966,0.772413793103448
"ODELVINMD2",49.294975,5.351851,366617,4327521,0.214203894616266,0.0904925544100802,0.00572737686139748,0,0.383734249713631,0.013745704467354
"OMLAKEVMD1",21.702634,0.016311,349440,4286442,0,0,0,0,0.255441008018328,0.741122565864834
"ONTAHOUDC1",13.071517,53.663738,322936,4310498,0.0916380297823597,0.131729667812142,0.435280641466208,0.215349369988545,0.0618556701030928,0
"OWENDORVA1",29.745294,14.760351,291814,4302649,0.175660160734788,0.256027554535017,0.0642939150401837,0.0114810562571757,0.257175660160735,0.192881745120551
"OWENJOHMD1",40.580928,12.989962,347921,4351480,0.249138920780712,0.363949483352468,0.0034443168771527,0,0.334098737083812,0.0447761194029851
"PADORAMVA1",26.307403,16.843162,317303,4295052,0.251146788990826,0.432339449541284,0.0217889908256881,0.00344036697247706,0.224770642201835,0.051605504587156
"PANCSAMMD1",27.262233,26.952322,326241,4315515,0.255441008018328,0.47651775486827,0.132875143184422,0.00343642611683849,0.11340206185567,0.0148911798396334
"PATSNADMD1",6.902132,32.983688,355230,4359677,0.126002290950745,0.690721649484536,0.140893470790378,0.0011454753722795,0.00801832760595647,0.0183276059564719
"PATTDAVMD1",1.138017,44.473022,363582,4349986,0.375143843498274,0.132336018411968,0.096662830840046,0.357882623705409,0.0103567318757192,0.0276179516685846
